frame_index,timestamp,signal,trial
147,1761933345.4716246,posttrial,0
148,1761933345.5206165,posttrial,0
149,1761933345.5696092,posttrial,0
150,1761933345.6196024,posttrial,0
151,1761933345.6705928,posttrial,0
152,1761933345.736628,posttrial,0
153,1761933345.7876213,posttrial,0
154,1761933345.8365934,posttrial,0
155,1761933345.8885572,posttrial,0
156,1761933345.93655,posttrial,0
157,1761933345.9885416,posttrial,0
158,1761933346.0365336,posttrial,0
159,1761933346.085526,posttrial,0
160,1761933346.1375198,posttrial,0
161,1761933346.18751,posttrial,0
162,1761933346.2365015,posttrial,0
163,1761933346.287494,posttrial,0
164,1761933346.3364859,posttrial,0
165,1761933346.3894768,posttrial,0
166,1761933346.4374712,posttrial,0
167,1761933346.4874616,posttrial,0
168,1761933346.5344694,posttrial,0
169,1761933346.6044428,posttrial,0
170,1761933346.6524348,posttrial,0
171,1761933346.703428,posttrial,0
172,1761933346.7545068,posttrial,0
173,1761933346.804411,posttrial,0
174,1761933346.8524036,posttrial,0
